body,title,url
"
Zacatecas.- La Fiscalía General de Justicia de Zacatecas confirmó que se investiga el asesinato de un hombre de origen italiano de 30 años de edad, que en vida llevaba el nombre de Alessandro, cuyo cuerpo fue encontrado a la orilla de la carretera en el municipio de Tepechitlán.
 
De acuerdo al reporte oficial emitido por la autoridad, se precisa que aproximadamente a las 11 horas de ayer (sábado), los policías municipales de Tepechitlán reportaron el hallazgo de un hombre sin vida a un costado de la carretera estatal tramo Rancho Nuevo–Llano Frío, ubicada a 8.3 kilómetros de la carretera federal 45 Tepechitlán- Teúl de González Ortega.
Al inspeccionar el cuerpo por parte del personal investigador y forense, se observó que presentaba una herida con características producidas por un disparo de arma de fuego en región abdominal en su costado derecho.
 
De igual manera, se informa que a una distancia aproximada de 350 metros en dirección al este y en terrero despoblado, se encontró un vehículo de motor de la marca Honda, color gris, con placas de circulación del estado de México, cuyo automóvil fue rentado en la Ciudad de México.
 
Tras la revisión de los objetos encontrados se encontró una bolsa que tenía varias identificaciones personales a nombre de Alessandro, de 30 años de edad, con las mismas características del cuerpo encontrado y documentación del vehículo referido.
 
Ante este hallazgo se procedió a entablar contacto con las autoridades consulares de Italia para establecer contacto con los familiares del hoy occiso y se menciona que éstos precisaron que la víctima se dedicaba a la comercialización de moto sierras en la región.
 
Tanto el cuerpo como el vehículo fueron trasladados a las instalaciones del Instituto Zacatecano de Ciencias Forenses para realizar los estudios correspondientes para integrar la investigación correspondiente  y esclarecimiento de los hechos    
 
",Localizan cadáver de italiano en carretera de Zacatecas,http://www.eluniversal.com.mx/estados/localizan-cadaver-de-italiano-en-carretera-de-zacatecas
" 0 % PULSO SOCIAL0 Tienen millones de dólares, se la viven en fiestas y pasarelas, sus mansiones te dejarían con el ojo cuadrado… ¡y aún así roban! Hay varias celebridades que han sido atrapadas sustrayendo objetos sin pagar, pero ¿por qué lo hacen?
Existen muchos motivos para el robo, desde necesidad hasta simple capricho. También hay problemas psicológicos, como la cleptomanía, que provocan en las personas un deseo irresistible de hurtar. Los cleptómanos no roban por placer, sino que sienten que sólo así pueden calmar su tensión.
Algunos psicólogos incluso creen que personas de clase media llegan a robar objetos ordinarios para llenar un vacío emocional. Sufrir una pérdida personal puede agravar este tipo de impulsos, aún en personas honestas que son un modelo para la comunidad.
Los famosos no se salvan… hay varios casos en los que fueron atrapados “con las manos en la masa”. En De10.mx te presentamos una #GaleríaDe10 con 10 celebridades “mano larga” a las que cacharon robando y lo que sustrajeron:
Con información de Huffington Post, BBC, Telemundo, Cheatsheet, In Touch Weekly y Univision
",,http://de10.com.mx/top-10/2018/10/29/10-famosos-mano-larga-los-que-cacharon-robando
"
[email protected]

Diputados de distintas bancadas opinaron que no ven como un “madruguete” o un “regalo” de la administración de Enrique Peña Nieto el haber renovado las concesiones a Televisa y TV Azteca por los próximos 20 años. Refirieron que los nuevos permisos los otorga el Instituto Federal de Telecomunicaciones (IFT) y esto ayuda a dar certidumbre a las televisoras nacionales.

El legislador y próximo subsecretario de Gobernación, Zoé Robledo (Morena), declaró que desde el equipo de transición no ven esta renovación de concesión como un “madruguete” a cualquier reforma que podría implementar el nuevo gobierno lopezobradorista a partir del 1 de diciembre.

“Las decisiones que se tomen desde el nuevo gobierno, nosotros procuraremos siempre que sean evaluadas, en esta parte final del gobierno actual, puesto que tendrán que dar cuenta de sus acciones, pero no lo vemos como madruguete”, aseveró.

Robledo, quien es integrante de la Comisión de Radio y Televisión de la Cámara de Diputados, señaló que por el momento todos los esfuerzos de la fracción de Morena en el Poder Legislativo están en atender las reformas necesarias para que el presidente electo, Andrés Manuel López Obrador, inicie su gobierno, y no se trabaja en ninguna iniciativa que reforme ese rubro.

“En este momento estamos muy concentrados en el marco legal para el arranque, en las reformas que den inicio, por un lado, a la Ley Orgánica de la Administración Pública, también en que quede la Fiscalía [General de la República], y otras medidas que sí tienen que ver con el cambio de régimen, como la revocación de mandato”, indicó.

La presidenta de la Comisión de Radio y Televisión de la Cámara de Diputados, la panista Laura Rojas, rechazó que haya sido un “regalo” o que el gobierno de Peña Nieto tenga algo que ver con la renovación de las concesiones para Televisa y TV Azteca, debido a que se tiene un órgano autónomo como es el IFT y es el que tiene esa tarea.

“No tiene nada que ver el fin de sexenio con las concesiones recién renovadas, las concesiones tienen sus propios plazos para ser renovadas y no dependen del gobierno el otorgamiento de las concesiones de los concesionarios de radio y televisión, sino del IFT, que es un órgano autónomo, sus comisionados son electos por el Senado, que es un órgano plural y no tiene nada que ver el Ejecutivo federal en estos procesos”, dijo.

La panista mexiquense opinó que la renovación de las concesiones ayuda a dar certidumbre a las empresas, y agregó que está segura y confía en que el Instituto Federal de Telecomunicaciones está otorgando las concesiones con base en la ley, y porque estos concesionarios cumplen con todos los requisitos y pagan sus cuotas por la concesión.

El secretario de la Comisión de Radio y Televisión de la Cámara de Diputados, el perredista Héctor Serrano, consideró que es positivo el haberle otorgado la renovación de las concesiones a Televisa y TV Azteca a un mes de que finalice la administración de Enrique Peña Nieto, porque eso puede servir para darles certidumbre a ambas empresas, que son las de mayor rating en la televisión mexicana.

“Cualquier espacio que permita la libertad de expresión siempre es bienvenido, posiblemente los tiempos puedan generar en algunos una percepción no adecuada, es importante que los medios tengan certeza y tengan la posibilidad de continuar con su labor, que en muchos de los casos, no solamente es entretenimiento, sino forman parte de una cadena de información que genera opinión y que finalmente es favorable para la propia vida nacional”, aseguró el perredista.
",Defienden las concesiones a televisoras ,http://www.eluniversal.com.mx/nacion/defienden-las-concesiones-televisoras
"

La semana pasada hubo una masacre en una sinagoga de la ciudad de Pittsburg, en Pennsylvania, Estados Unidos. Un loco entró disparando, a la hora de los rezos, y mató a once personas e hirió a seis mientras vociferaba contra los judíos.

En sus redes sociales, los investigadores encontraron la siguiente “explicación” de sus acciones: el sujeto estaba molesto con una ONG judía que ayuda a migrantes y refugiados (de cualquier país, etnia, nacionalidad y religión), y como parte de su trabajo les consigue permisos para entrar a vivir a Estados Unidos. En opinión de este sujeto, los inmigrantes son una lacra y quienes los ayudan deben morir porque “no puedo quedarme sentado y ver como esos invasores asesinan a mi gente. Voy a actuar”.

He aquí el resultado concreto y terrible del discurso que pone en los migrantes, en los que vienen “de otra soberanía” como dice el diccionario de la lengua española, la culpa de todos los problemas habidos y por haber.

En México, hasta hace muy poco, la migración no era un tema. Durante los muchos años en que los centroamericanos han cruzado la frontera sur, de África han salido miles hacia Italia y España y otros miles han huido de Medio Oriente hacia Europa, aquí se ha vivido ese proceso como una noticia que poco nos concierne.

Pero de repente, debido a las caravanas de centroamericanos que han entrado a nuestro país, el tema ha adquirido relevancia.

Ya lo he dicho aquí: México se fundó sobre la idea de “no consentir en nuestro territorio a ningún extranjero.” Según Miguel León Portilla, la grandeza de las culturas prehispánicas se explica “como producto del aislamiento de milenios y de no tener contacto con el exterior” y Cecilia Cortina asegura que “México no es un territorio corrompido por influencias extrañas”.

Pero la conquista y colonización españolas fueron tan brutales, que generaron, como escribió Francisco Bulnes, “ que el odio al extranjero alcanzara proporciones próximas al canibalismo”.

Y sin embargo, en el siglo XX hubo fuertes olas migratorias a las que se recibió bien, aunque también se cerró la puerta por completo a ciertos migrantes: a los chinos por considerarlos “raza ruin y abyecta”, “con lacras físicas y costumbres repugnantes” y se pretendió impedir que los venidos de India y de países árabes se mezclaran con los nacionales porque “producen degeneración en sus descendientes”.

Es decir, ha habido un doble patrón. A veces sí y a veces no. Depende quién y depende cuándo. Como afirma André Taguieff, el rechazo tiene una “gradación”: no es igual un chino que un alemán. Muchos darían la vida por casar a sus hijos con un inglés o canadiense, pero en cambio no podrían soportar que sucediera lo mismo si se trata de un africano. En los años setenta se recibió a quienes venían del sur del continente huyendo de la represión y los golpes de estado, pero a los centroamericanos se les deportó casi en su totalidad.

Frente a la situación que estamos viviendo ahora, hay quien defiende

la migración centroamericana e insiste en que México debe ser país de asilo, algo que es muy alentador sin duda, como lo es la mucha gente que los acompaña y apoya. Pero también hay quienes no quieren que esas personas entren al país, pues los consideran delincuentes y un peligro para nuestra tranquilidad y la preservación (sic) de nuestras costumbres. Es exactamente lo mismo que dice Donald Trump de los mexicanos que migran al otro lado y lo que dice la derecha en Italia, Austria, Hungría, Alemania, Suecia, Francia, sobre los africanos, asiáticos y mediorientales.

Lo grave es que, como estamos viendo, esta retórica no es inocente. Quienes la emplean han conseguido llegar al poder justamente con la bandera de no permitir más migrantes en sus territorios. Y, como vimos en Pittsburgh, las cosas pueden llegar tan lejos hasta el asesinato de muchas personas.

 

Escritora e investigadora en la
UNAM. [email protected]www.sarasefchovich.com
",Migrantes y asesinos,https://www.eluniversal.com.mx/articulo/sara-sefchovich/nacion/migrantes-y-asesinos
"El azul índigo está impregnado en las uñas, los pies y en cada pliegue de las manos de un puñado de hombres que mueven con fuerza, y a gran velocidad, unas largas palas dentro de una pila de cemento con 4 mil litros de agua azulada y espumosa.
Le llaman añil, un colorante natural elaborado a base de la trituración y fermentación de la planta jiquilite, que hace generaciones llegó desde Centroamérica hasta el pueblo mulato de Niltepec, en los límites con Chiapas.
Nicolás Cruz López tiene 25 años y es uno de los 10 productores de añil que mantienen viva esta actividad en Niltepec, comunidad zoque de la zona oriente del Istmo de Tehuantepec. Es el único lugar de Oaxaca donde se produce este colorante, aunque en Chiapas y Centroamérica también se cultiva.
Nico, como lo conocen sus amigos, comenzó a producir el añil a los 16 años, con su padre. Actualmente participa, junto con su familia, en las tres etapas de la producción: siembra-cosecha, fermentación-pila y extracción.

El joven explica que desde hace ocho años vio cómo la producción disminuyó drásticamente por el cambio climático. Aseguran que la falta de lluvias y el terremoto del 7 de septiembre de 2017 mermaron aún más las cosechas.
“Antes del sismo algunos de los productores llegaron a cosechar hasta 100 kilos de añil. Ahora, algunas familias, como la mía, sólo lograremos a lo mucho 20”, destaca.
Nicolás agrega que quienes se dedican al añil estan convencidos que “el terremoto movió la tierra y las raíces” con tal fuerza que éstas se secaron. Luego, por la falta de lluvias las hojas del jiquilite no crecieron mucho y, por consecuencia, las manchas del tinte que se forman en sus hojas fueron pequeñas.
“Así que la producción es pobre, apenas sacaremos lo invertido en todo el año”, explica el joven.
El añil se cosecha una vez al año, así que la temporada fuerte es a finales de septiembre y principios de octubre, antes de que los vientos viejos del sur caigan sobre las plantaciones y las destrocen. El resto del año los hombres del añil se dedican a labrar sus parcelas o a otros oficios.
Pérdida y restauración
Octaviano Pérez Antonio tiene 63 años y es de los últimos habitantes de Niltepec que comenzó con el rescate del añil hace casi 20 años. Él recuerda que la producción cayó en los años 90, pero antes un grupo de productores de Santa María Guienagati, en la Sierra Mixe-Zapoteca, le compró las semillas del jiquilite para cosechar el añil, pero cuando en Niltepec las plantaciones desaparecieron, los nuevos productores fueron hasta Guienagati a comprar otra vez la semilla.

Fue así que el jiquilite regresó a Niltepec, pero después desapareció en la Sierra Mixe-Zapoteca, por lo que Niltepec volvió a convertirse en el único lugar donde se cosecha y ha transformando a sus habitantes en los guardianes del tinte.
Octaviano pertenece a la cooperativa Azul Añil, la más antigua en Niltepec, aunque existe una nueva organización que se llama El Cerro del Añil y otros productores independientes.
Posee sólo una hectárea de terreno sembrado con esta planta y calcaula que su producción tampoco rebasará los 20 kilos; en años anteriores cosechaba hasta 100 kilos. La producción de este año la ofertará al Museo del Textil en Oaxaca a mil 500 pesos el kilo.
El nacimiento del azul
El proceso de siembra comienza en mayo, para que en octubre, después de las lluvias, se dé el corte. En Niltepec se llegan a sembrar entre 10 y 15 hectáreas entre los 10 productores que existen.
Tras dos años de espera, las plantas del jiquilite están listas para cosecharse, pues sus hojas poseen las manchas de tintas más gruesas. En las plantas que tienen un año o menos, las manchas en sus hojas son pequeñas y la producción es pobre. Éstas fueron las que más se cosecharon en 2018, luego de la muerte de las plantas viejas tras el sismo.

Después del corte, las ramas se amarran y se llevan en carretas a tres estanques de cemento de distintas medidas: las que usan en Niltepec tienen más de 100 años de antigüedad. En la comunidad de Tapanatepec existen pilas con más de 200 años en haciendas abandonadas, lo que indica que el añil tuvo gran importancia en la zona oriente del Istmo.
Ya en las pilas, las hojas se colocan en el primer estanque, se trituran uy les añaden 4 mil litros de agua adicionada con un pegamento natural que se desprende de un fruto llamado en zapoteco gulabere. La mezcla se deja reposar 24 horas, logrando una especie de fermentación.
Al día siguiente, el agua escurre a un segundo tanque, en donde tres personas la mueven con largas palas por espacio de seis horas logrando que se haga espumosa y logre un azul turquesa.
Después, se le escurrir el excedente de agua. Por último, el líquido llega a un tercer tanque muy pequeño, el agua ya es espesa y de un color azul oscuro, en esta etapa se recolectan finalmente 10 cubetas de 19 litros cada uno.
La extracción y las mujeres
Argelia y Araceli, madre e hija, se integran al proceso de extracción del tinte al tercer día. Ellas colocan el agua espesa en unas mantas. Aquí, el agua se filtra y sólo queda una capa de pasta azul oscura, que luego comprimen, amarran y cuelgan hasta que deje de escurrir el agua.
Al cuarto día la pasta es colocada en pequeñas tejas al sol, el proceso de secado dura entre cuatro a ocho días, dependiendo del clima. Las mujeres se pasan los días vigilando las pastas, las voltean cada hora.

En ocasiones, el clima nublado favorece a que la pasta sea invadida por un hongo blanco que lo cubre hasta la petrificación, cuando esto sucede lo limpian con agua y limón hasta redescubrir el azul.
Las pastas, que humedas llegan a medir 30 centímetro, se encogen hasta tener un diámetro de 10 centímetros. Las piezas son parecidas al carbón con poco peso. El producto final limpio se vende por kilo a los artesanos de Oaxaca, Puebla y Veracruz, para teñir ropa, telas e hilos.
“Antes de la crisis mi patio se cubría de tejas con las pastas, sacábamos hasta 100 kilos. Este año sólo logramos cubrir una mesa, a lo mucho 20 kilos, perdimos 80% de la producción. Este año no habrá tanto tinte para pintar hilos y telas, tampoco tendremos mucho dinero, ganancia, ni nada”, explica Argelia López Lorenzo, esposa de Octaviano.
Argelia recuerda que hasta Niltepec llegaban los habitantes de otros pueblos del Istmo para comprar añil y pintar sus casas de lodo. También lo utilizaban para lavar la ropa blanca porque terminaba con destellos de azul.

Ahora Araceli, hija de Argelia, busca implementar junto con su madre un proyecto de teñido de hilos desde su casa, aprovechando la materia prima que su misma familia extrae cada año. Las dos mujeres fueron capacitadas por una organización en el proceso del teñido; ahora necesitan financiamiento para comprar hilos y arrancar el proyecto. EL UNIVERSAL Oaxaca
","Los últimos guardianes que conservan el azul añil en Niltepec, Oaxaca",http://oaxaca.eluniversal.com.mx/especiales/07-10-2018/los-ultimos-guardianes-que-conservan-el-azul-anil-en-niltepec-oaxaca
"

Tlalnepantla, Méx.— Un hombre, supuestamente conductor de la aplicación Uber, fue asesinado con un disparo de arma de fuego en la unidad habitacional El Rosario, en lo que al parecer se trató de un asalto.

Fuentes locales informaron que un hombre fue asesinado en el interior de un vehículo en las calles Impresores y Carpinteros, en la unidad habitacional El Rosario 1, Sector 2.

El hombre quedó en el asiento del conductor de un automóvil Aveo guinda, con disparo de arma de fuego en el tórax; paramédicos de Protección Civil municipal determinaron que carecía de signos vitales.

Testigos relataron a la policía que el conductor viajaba acompañado de otro hombre, quien descendió del vehículo, dio la vuelta y disparó contra el chofer, quien recibió el impacto del arma en el lado izquierdo del pecho, a la altura de la axila; en el sitio fue hallado un cartucho percutido calibre 22 milímetros y autoridades investigan si se trató de un asalto.

Jornada sangrienta. En Tultitlán, los restos de un hombre descuartizado fueron abandonados en bolsas en la colonia Mariano Escobedo, junto a los cuales fue dejada una cartulina con mensajes. Fuentes locales informaron que alrededor de las 7:45 horas del sábado, pobladores alertaron sobre bolsas con restos humanos abandonadas en avenida Central, de la colonia Mariano Escobedo, cerca de las vías del ferrocarril.

En el sitio estaba el tronco de un hombre en una cobija y cuatro bolsas negras con demás restos.

En Nezahualcóyotl, un joven de 22 años fue asesinado la noche del viernes con un disparo de arma de fuego en el interior de un vehículo, en la esquina de las avenidas Carmelo Pérez y Chimalhuacán, colonia Benito Juárez; una mujer y otros dos jóvenes resultaron lesionados y fueron trasladados a hospitales para su atención.

En Cuautitlán Izcalli, sujetos armados irrumpieron —la tarde del viernes— en el Centro de Atención a Clientes de Telcel de Plaza San Marcos, obligaron a clientes y empleados a tirarse al piso y saquearon la bodega de teléfonos celulares; no hubo detenidos.

Los hechos ocurrieron alrededor de las 15:30 horas del 2 de noviembre, cuando tres hombres amagaron con arma de fuego a clientes y empleados y en unos cinco minutos sustrajeron los teléfonos celulares de la bodega del establecimiento, los cuales metieron en bolsas y huyeron.

La Fiscalía General de Justicia del Estado de México tomó conocimiento de los casos e inició las carpetas de investigación respectivas.
",Balean a presunto chofer de Uber,http://www.eluniversal.com.mx/metropoli/balean-presunto-chofer-de-uber
"Osiris Orozco, el segundo eliminado de MasterChef México pudo salir por ser gay.
Eso publican en varios medios porque se sabe que el cocinero tiene una relación e incluso tiene planes de boda.
En sus redes sociales jamás ocultó esta relación y se nota en los comentarios de sus seguidores.
Sin embargo, desde hace tiempo se ha criticado a TV Azteca por presuntamente discriminar a la comunidad LGBTTTI.
En La Academia 2018 cuando salió Isbo se dijo lo mismo, que lo habían sacado porque era gay, aunque en este caso nunca se dijo abiertamente.
Por otro lado hay quien piensa que es una exageración, pues el reality se grabó hace varios meses y el impacto de Osiris no se sabía.
Como sea, Azteca ya ha recibido varios comentarios al respecto.
Osiris es entrenador personal y desde el inicio del programa llamó la atención por su físico.
TE PUEDE INTERESAR
Osiris Orozco roba cámara en MasterChef México
Osiris Orozco eliminado de MasterChef México

","Fraude en Masterchef, ¿sacan a Osiris por ser gay?",http://www.unionyucatan.mx/articulo/2018/11/01/espectaculos/fraude-en-masterchef-sacan-osiris-por-ser-gay
"
El Standard Lieja sumó su cuarto encuentro sin ganar al cosechar ante el Antwerp su segunda derrota consecutiva (0-2), en la decimocuarta jornada de la Liga de Bélgica.
Sin participación del mexicano Omar Govea, el Royal Antwerp por fin le pudo ganar a Standard, con el arquero Guillermo Ochoa como titular.
Luego de siete partidos sin perder ante Antwerp, con cinco victorias y dos empates, “les rouches” cayeron 0-2 en casa, en la Jupiler Pro League, pues a pesar de tener mejor posesión, no pudieron reflejarlo en el marcador.
 

Line-up @Standard_RSCL: Ochoa, Cavanda, Luyindama, Laifis, Fai, Agbo, CImirot, Marin, Lestienne, Carcela & Emond #STAANT #COYR pic.twitter.com/ZofPJD16PL
 — Standard de Liège (@Standard_RSCL) 4 de noviembre de 2018

El internacional portero “Memo” Ochoa jugó todo el encuentro con una destacada participación, pero no pudo evitar los dos goles anotados.
Mientras que su compatriota, el mediocampista Govea no fue convocado para este encuentro, por lo que sólo suma un encuentro y 16 minutos en la temporada en el futbol belga.
Resultado mantiene al equipo del arquero tapatío en sexto lugar, con 20 puntos; Antwerp, suma 28 unidades y ocupa la tercera posición.
 



Artículo


“Chicharito” Hernández anota en triunfo de West Ham

Universal Deportes


El delantero mexicano volvió a marcar en un partido de Premier League, tras ingresar a la cancha en el minuto 61 







",Standard con Guillermo Ochoa sufren otra derrota,http://www.eluniversal.com.mx/universal-deportes/futbol/standard-con-guillermo-ochoa-sufren-otra-derrota
"Los Contendientes que salieron de Extalón México no parecen muy contentos con los 3 que se quedaron en el reality.
Javier Márquez, Natali Brito y Evelyn Guijarro se quedaron en la competencia.
Al respecto del accidente Isabel Delgado dijo que pasó su vida en segundos, su familia, su novio, pensó que era la última vez que estaba viva.
En entrevistas se notó que no todo era tan bueno como se pensaba.
Los 7 que salieron se consideran un equipo, pero no cuentan mucho a los que se quedaron.
Varios como Oziel, Gonzalo ven como favorito al equipo rojo, sobre el azul.
Cuando les mencionaron a gente como Javi y Natali no dijeron cosas buenas, se reservaron en sus comantarios.
Irving dijo en una entrevista que aunque él no estuvo en el accidente, cuando los que lo vivieron decidieron salir, él sintió que debía apoyarlos.
Marco dijo que quiso ser empático con ellos y por eso se fueron. 
TE PUEDE INTERESAR
La verdad de la salida de azules de Exatlón
Infidelidades en Exatlón México
",Contendientes traicionados en Exatlón México,http://www.unioncdmx.mx/articulo/2018/11/01/espectaculos/contendientes-traicionados-en-exatlon-mexico
"
El Distrito Federal, actual Ciudad de México, estuvo políticamente dividido en 17 municipalidades hasta el 31 de diciembre de 1928.
A partir del primero de enero de 1929, el entonces Distrito Federal estaría dividido en 13 delegaciones y un Departamento Central. La cabecera del Departamento Central se quedó en la Ciudad de México, incorporando a Tacubaya y las antiguas Villas de Tacuba y Mixcoác.
Por ello, los invitamos a realizar un viaje al pasado de esta Ciudad y sus alrededores en el año de 1928, cuando coincidentemente, un grupo de intelectuales y cronistas lograron que se colocaran las famosas placas de azulejos con los nombres antiguos de las principales calles y avenidas,  que vemos hasta el día de hoy en el primer cuadro capitalino. 
 
",Calles de la CDMX hace 90 años,http://www.eluniversal.com.mx/metropoli/cdmx/calles-de-la-cdmx-hace-90-anos
"
El futbolista argentino Lionel Messi viajará mañana con el Barcelona a Milán y podría ser la gran novedad para el partido del martes ante el Inter en la Liga de Campeones del fútbol europeo.
El club azulgrana anunció hoy la lista de convocados para el choque y entre ellos incluyó a Messi. Todavía no tiene el alta médica, pero podría recibirla antes del partido si está apto para jugar. Messi volvió a entrenarse el miércoles pasado junto a sus compañeros tras evolucionar en forma favorable de su lesión en el codo.
 

La lista de convocados para el #InterBarça
 Leo #Messi viaja a Milán sin el alta médica
  #ForçaBarça pic.twitter.com/OM3OlFRLTS
 — FC Barcelona (@FCBarcelona_es) 4 de noviembre de 2018

El argentino sufrió el 20 de octubre una fractura del radio de su brazo derecho durante un partido de la Liga española ante el Sevilla y entonces se le diagnosticaron unas tres semanas de baja.
Sin embargo, su recuperación resultó más rápida de lo pensado y ni siquiera se descarta que pueda regresar ante el Inter de Milán coincidiendo con la cuarta jornada de la fase de grupos de la Champions. Las bajas confirmadas para el encuentro son las de los lesionados Thomas Vermaelen, Samuel Umtiti y Sergi Samper.
",Messi reaparece en convocatoria del Barcelona,http://www.eluniversal.com.mx/universal-deportes/futbol/messi-reaparece-en-convocatoria-del-barcelona
"Por Alan Rodríguez
ECATEPEC.– Una pareja fue encontrada muerta luego de sufrir una sobredosis al interior de un domicilio en este municipio del Edomex.
Durante la mañana de ayer, vecinos de la zona notaron que la pareja no salió de su vivienda, ubicada sobre la calle Bosque del Nayar y Bosque de Sabinos de la colonia Jardines de Morelos, por tal motivo, reportaron el hecho a los cuerpos de emergencia.
En el domicilio, paramédicos encontraron los cuerpos de un hombre, de unos 30 años, y el de la mujer de 25, aproximadamente.
MUERTE LENTA. Ambos cadáveres presentaban un severo cuadro de desnutrición y tenían las características de muerte por sobredosis por estupefacientes.
Los dos estaban recostados uno junto al otro, en el suelo de una habitación que estaba repleta de objetos en desorden.
",,http://www.elgrafico.mx/la-roja/hallan-pareja-muerta-por-sobredosis-en-domicilio-de-ecatepec
"Debido a que en los últimos cinco años la percepción de inseguridad para los ciudadanos en San Luis Potosí registró un alza, la Asociación Mexicana de Profesionales Inmobiliarios en el Estado (AMPI) señaló que la tendencia actual de la población es adquirir una vivienda bajo el régimen de condominio debido a las reglas de seguridad que se implementan en estos sitios.
""De hecho es una tendencia natural y no es por la situación actual, en los últimos años los desarrolladores han hecho fraccionamientos cerrados e incluso hay algunas zonas que ya son fraccionamientos en donde los vecinos se han estado organizando para cerrar"".
Pablo Saavedra, presidente de la Asociación Mexicana de Profesionales Inmobiliarios en el Estado, explicó que actualmente este tipo de fraccionamientos se están realizando en los límites de la zona urbana de la ciudad debido a la falta de espacio que existe en la zona centro de la capital.



Artículo


Autorizarán nuevos fraccionamientos en Soledad


Metrópoli


Buscan fomentar el desarrollo económico, industrial, y urbano de ese municipio. 







""Probablemente unos 15 ó 20 desarrollos de tamaño medio a grande hay porque por ejemplo las colonias en el Centro Histórico como Pedro Moreno eran centros de manzana desde hace mucho tiempo y conforme pasa el tiempo se hicieron privados"".
Ante esta situación, AMPI en coordinación con la policía municipal de la capital ha efectuado reuniones a fin de lograr que los profesionales inmobiliarios tomen en cuenta las medidas de seguridad necesarias para las casas habitación.
""Hemos tenido reuniones con algunas autoridades en donde nos comentan la manera de cómo están atacando el tema de seguridad, sabemos que es insuficiente, pero hay voluntad de las autoridades en hacerlo aunque la percepción que tenemos los ciudadanos es que no hay una buena solución a la cuestión de inseguridad"".
Y es que en los últimos dos años la autorización de casas habitación en el régimen de condominio de parte del Ayuntamiento de la capital se incrementaron considerablemente debido a la necesidad de vivir en un lugar seguro.
[email protected] 
vkc
","Ante inseguridad, potosinos prefieren vivir en privadas o condominios",http://sanluis.eluniversal.com.mx/metropoli/29-10-2018/ante-inseguridad-potosinos-prefieren-vivir-en-privadas-o-condominios
"
La Comisión del Agua del Estado de México (CAEM) informó que luego de que la Conagua anunció el fin de las labores de mantenimiento en el Sistema Cutzamala, a las 5:45 horas, el agua comenzó a fluir por el acueducto, a las 8:08 horas, lo que permitirá recuperar el caudal paulatinamente en los 12 municipios mexiquenses afectados por el megacorte.
Alfredo Pérez Guzmán, encargado de la Vocalía Ejecutiva de la CAEM, indicó en un comunicado, que el Estado de México se mantuvo sin incidencias durante el tiempo del corte, gracias a la estrategia coordinada con la Comisión Nacional del Agua (Conagua) y los organismos operadores, misma que finalizará cuando los 12 municipios recuperen el suministro habitual.
De acuerdo con la ubicación geográfica de los 12 municipios que se abastecen de agua potable del Sistema Cutzamala, Toluca y Huixquilucan serán los primeros en recibir el caudal, tras la conclusión de los trabajos de mantenimiento, hasta concluir con Nezahualcóyotl y Ecatepec en las próximas horas.
El funcionario agregó que el Centro de Operaciones de Monitoreo y Concentración de Información (COMCI), recibió 45 solicitudes de apoyo con camiones cisterna, durante las horas del mantenimiento, la mayoría de los municipios de Ecatepec y Nezahualcóyotl.

Fotografía: Especial 
lr
 
","Tras mantenimiento en el Cutzamala, prevén abasto paulatino de agua en Edomex",http://www.eluniversal.com.mx/metropoli/edomex/tras-mantenimiento-en-el-cutzamala-preven-abasto-paulatino-de-agua-en-edomex
